frame_id,person_count,processing_time_ms,annotated_frame
29,2,89.3,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000029.jpg
30,3,89.43,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000030.jpg
31,2,81.47,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000031.jpg
32,3,82.08,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000032.jpg
33,3,88.34,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000033.jpg
34,5,95.58,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000034.jpg
35,5,79.75,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000035.jpg
36,5,82.47,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000036.jpg
37,5,71.12,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000037.jpg
38,5,67.87,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000038.jpg
39,6,79.35,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000039.jpg
40,5,86.92,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000040.jpg
41,4,78.44,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000041.jpg
42,5,82.95,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000042.jpg
43,5,78.64,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000043.jpg
44,5,71.74,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000044.jpg
45,6,83.1,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000045.jpg
46,6,74.77,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000046.jpg
47,8,75.58,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000047.jpg
48,7,76.33,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000048.jpg
49,8,80.67,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000049.jpg
50,7,71.2,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000050.jpg
51,5,86.77,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000051.jpg
52,5,81.98,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000052.jpg
53,5,82.87,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000053.jpg
54,5,81.5,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000054.jpg
55,6,73.0,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000055.jpg
56,5,78.15,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000056.jpg
57,5,80.13,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000057.jpg
58,5,74.22,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000058.jpg
59,7,71.62,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000059.jpg
60,8,70.89,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000060.jpg
61,8,67.55,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000061.jpg
62,3,89.32,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000062.jpg
63,3,104.59,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000063.jpg
64,2,90.17,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000064.jpg
65,2,85.21,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000065.jpg
66,3,99.78,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000066.jpg
67,3,83.05,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000067.jpg
68,4,83.4,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000068.jpg
69,2,79.89,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000069.jpg
70,0,78.7,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000070.jpg
71,1,81.09,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000071.jpg
72,2,85.5,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000072.jpg
73,4,73.71,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000073.jpg
74,2,77.43,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000074.jpg
75,0,83.6,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000075.jpg
76,0,84.58,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000076.jpg
77,2,86.08,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000077.jpg
78,3,80.08,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000078.jpg
79,2,96.87,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000079.jpg
80,3,89.29,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000080.jpg
81,1,68.06,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000081.jpg
82,1,74.3,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000082.jpg
83,2,75.94,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000083.jpg
84,4,86.08,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000084.jpg
85,6,73.72,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000085.jpg
86,4,81.93,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000086.jpg
87,4,81.93,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000087.jpg
88,3,96.99,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000088.jpg
89,3,93.53,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000089.jpg
90,4,86.15,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000090.jpg
91,2,116.98,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000091.jpg
92,2,83.24,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000092.jpg
93,4,85.14,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000093.jpg
94,4,86.34,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000094.jpg
95,4,80.64,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000095.jpg
96,2,76.85,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000096.jpg
97,3,77.38,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000097.jpg
98,2,76.76,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000098.jpg
99,2,81.5,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000099.jpg
100,2,72.42,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000100.jpg
101,0,78.75,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000101.jpg
102,1,73.71,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000102.jpg
103,1,66.43,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000103.jpg
104,3,78.81,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000104.jpg
105,2,83.02,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000105.jpg
106,1,93.64,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000106.jpg
107,1,105.32,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000107.jpg
108,3,90.65,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000108.jpg
109,3,92.81,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000109.jpg
110,2,96.28,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000110.jpg
111,2,92.18,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000111.jpg
112,3,82.74,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000112.jpg
113,3,90.66,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000113.jpg
114,3,85.68,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000114.jpg
115,4,80.55,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000115.jpg
116,4,77.54,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000116.jpg
117,4,75.92,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000117.jpg
118,4,58.45,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000118.jpg
119,4,60.68,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000119.jpg
120,5,64.14,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000120.jpg
121,5,56.4,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000121.jpg
122,4,48.75,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000122.jpg
123,4,51.68,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000123.jpg
124,5,59.47,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000124.jpg
125,4,64.83,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000125.jpg
126,3,57.72,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000126.jpg
127,4,54.31,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000127.jpg
128,5,60.42,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000128.jpg
129,5,51.66,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000129.jpg
130,2,53.47,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000130.jpg
131,2,53.42,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000131.jpg
132,1,57.85,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000132.jpg
133,1,59.57,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000133.jpg
134,1,46.23,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000134.jpg
135,2,83.86,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000135.jpg
136,3,59.8,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000136.jpg
137,2,52.63,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000137.jpg
138,1,53.78,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000138.jpg
139,1,50.6,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000139.jpg
140,1,72.93,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000140.jpg
141,2,50.42,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000141.jpg
142,2,58.2,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000142.jpg
143,3,53.47,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000143.jpg
144,4,51.83,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000144.jpg
145,3,58.54,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000145.jpg
146,3,51.72,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000146.jpg
147,4,49.63,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000147.jpg
148,4,49.95,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000148.jpg
149,3,53.22,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000149.jpg
150,3,51.88,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000150.jpg
